timestamp,x_normalized,y_normalized
1746689328145,0.3312,0.9990
1746689328161,0.3312,0.9990
1746689328177,0.3312,0.9990
1746689328194,0.3312,0.9990
1746689328210,0.3312,0.9990
1746689328225,0.3312,0.9990
1746689328242,0.3312,0.9990
1746689328258,0.3312,0.9990
1746689328274,0.3312,0.9990
1746689328290,0.3312,0.9990
1746689328306,0.3312,0.9990
1746689328322,0.3312,0.9990
1746689328337,0.3312,0.9990
1746689328353,0.3312,0.9990
1746689328369,0.3312,0.9990
1746689328385,0.3312,0.9990
1746689328402,0.3312,0.9990
1746689328418,0.3312,0.9990
1746689328433,0.3312,0.9990
1746689328449,0.3312,0.9990
1746689328465,0.3312,0.9990
1746689328481,0.3312,0.9990
1746689328498,0.3312,0.9990
1746689328513,0.3312,0.9990
1746689328529,0.3312,0.9990
1746689328545,0.3312,0.9990
1746689328561,0.3312,0.9990
1746689328578,0.3312,0.9990
1746689328594,0.3312,0.9990
1746689328608,0.3312,0.9990
1746689328626,0.3312,0.9990
1746689328642,0.3312,0.9990
1746689328658,0.3312,0.9990
1746689328674,0.3312,0.9990
1746689328689,0.3312,0.9990
1746689328706,0.3312,0.9990
1746689328722,0.3312,0.9990
1746689328737,0.3312,0.9990
1746689328753,0.3312,0.9990
1746689328770,0.3312,0.9990
1746689328785,0.3312,0.9990
1746689328801,0.3312,0.9990
1746689328817,0.3312,0.9990
1746689328834,0.3312,0.9990
1746689328850,0.3312,0.9990
1746689328866,0.3312,0.9990
1746689328882,0.3312,0.9990
1746689328898,0.3312,0.9990
1746689328914,0.3312,0.9990
1746689328930,0.3312,0.9990
1746689328946,0.3312,0.9990
1746689328962,0.3312,0.9990
1746689328978,0.3312,0.9990
1746689328994,0.3312,0.9990
1746689329009,0.3312,0.9990
1746689329025,0.3312,0.9990
1746689329041,0.3312,0.9990
1746689329057,0.3312,0.9990
1746689329073,0.3312,0.9990
1746689329090,0.3312,0.9990
1746689329106,0.3312,0.9990
1746689329122,0.3312,0.9990
1746689329138,0.3312,0.9990
1746689329154,0.3312,0.9990
1746689329170,0.3312,0.9990
1746689329186,0.3312,0.9990
1746689329202,0.3312,0.9990
1746689329218,0.3312,0.9990
1746689329234,0.3312,0.9990
1746689329250,0.3312,0.9990
1746689329266,0.3312,0.9990
1746689329282,0.3312,0.9990
1746689329297,0.3312,0.9990
1746689329313,0.3312,0.9990
1746689329330,0.3312,0.9990
1746689329346,0.3312,0.9990
1746689329362,0.3312,0.9990
1746689329378,0.3312,0.9990
1746689329394,0.3312,0.9990
1746689329410,0.3312,0.9990
1746689329426,0.3312,0.9990
1746689329441,0.3312,0.9990
1746689329457,0.3312,0.9990
1746689329473,0.3312,0.9990
1746689330255,0.3312,0.9990
1746689330257,0.3312,0.9990
1746689331256,0.3312,0.9990
1746689332257,0.3312,0.9990
1746689333257,0.3312,0.9990
1746689334256,0.3312,0.9990
1746689335256,0.3312,0.9990
1746689336257,0.3312,0.9990
1746689337256,0.3312,0.9990
1746689338257,0.3312,0.9990
1746689339257,0.3312,0.9990
1746689340256,0.3312,0.9990
1746689341257,0.3312,0.9990
1746689342257,0.3312,0.9990
1746689343256,0.3312,0.9990
1746689344256,0.3312,0.9990
1746689344551,0.3312,0.9990
1746689344562,0.3312,0.9990
1746689344578,0.3312,0.9990
1746689344594,0.3312,0.9990
1746689344610,0.3312,0.9990
1746689344626,0.3312,0.9990
1746689344642,0.3312,0.9990
1746689344658,0.3312,0.9990
1746689344673,0.3312,0.9990
1746689344689,0.3312,0.9990
1746689344706,0.3312,0.9990
1746689344722,0.3312,0.9990
1746689344738,0.3312,0.9990
1746689344753,0.3312,0.9990
1746689344769,0.3312,0.9990
1746689344785,0.3641,0.9614
1746689344801,0.3641,0.9614
1746689344818,0.3641,0.9614
1746689344834,0.3641,0.9614
1746689344849,0.3641,0.9614
1746689344865,0.3641,0.9614
1746689344881,0.3641,0.9614
1746689344897,0.3641,0.9614
1746689344913,0.3641,0.9603
1746689344929,0.3641,0.9603
1746689344945,0.3641,0.9593
1746689344962,0.3641,0.9593
1746689344977,0.3646,0.9582
1746689344994,0.3646,0.9582
1746689345010,0.3646,0.9582
1746689345025,0.3646,0.9582
1746689345042,0.3646,0.9582
1746689345057,0.3646,0.9582
1746689345073,0.3646,0.9582
1746689345089,0.3646,0.9582
1746689345106,0.3646,0.9582
1746689345122,0.3646,0.9582
1746689345138,0.3646,0.9582
1746689345154,0.3646,0.9582
1746689345169,0.3646,0.9582
1746689345185,0.3646,0.9582
1746689345202,0.3646,0.9582
1746689345217,0.3646,0.9582
1746689345233,0.3646,0.9582
1746689345249,0.3646,0.9582
1746689345265,0.3646,0.9582
1746689345282,0.3646,0.9582
1746689345298,0.3646,0.9582
1746689345314,0.3646,0.9582
1746689345330,0.3646,0.9582
1746689345346,0.3646,0.9582
1746689345362,0.3646,0.9582
1746689345378,0.3646,0.9582
1746689345394,0.3646,0.9582
1746689345410,0.3646,0.9582
1746689345426,0.3646,0.9582
1746689345442,0.3646,0.9582
1746689345458,0.3646,0.9582
1746689345474,0.3646,0.9582
1746689345489,0.3646,0.9582
1746689345506,0.3646,0.9582
1746689345522,0.3646,0.9582
1746689345537,0.3646,0.9582
1746689345553,0.3646,0.9582
1746689345570,0.3646,0.9572
1746689345585,0.3641,0.9562
1746689345602,0.3536,0.9280
1746689345618,0.3443,0.9029
1746689345633,0.3312,0.8643
1746689345649,0.3104,0.7923
1746689345666,0.2885,0.7140
1746689345682,0.2630,0.6106
1746689345697,0.2307,0.4530
1746689345713,0.2120,0.3445
1746689345729,0.1974,0.2443
1746689345745,0.1870,0.1618
1746689345761,0.1776,0.0835
1746689345777,0.1734,0.0491
1746689345793,0.1714,0.0261
1746689345809,0.1703,0.0073
1746689345826,0.1703,0.0073
1746689345841,0.1703,0.0073
1746689345858,0.1703,0.0073
1746689345874,0.1703,0.0073
1746689345890,0.1703,0.0073
1746689345905,0.1703,0.0073
1746689345922,0.1703,0.0073
1746689345938,0.1703,0.0073
1746689345954,0.1703,0.0073
1746689345970,0.1703,0.0073
1746689345986,0.1703,0.0073
